	train	test	val
1	1034	1073	1060
2	1039	1057	1042
3	1072	1037	1046
4	1033	1032	1011
5	1053	1081	1022
6	1056	1085	1003
7	1002	1025	1027
8	1005	1055	1047
9	1018	1059	
10	1028	1082	
11	1009	1061	
12	1051	1014	
13	1007	1013	
14	1043	1070	
15	1029	1049	
16	1010	1074	
17	1035	1065	
18	1045	1066	
19	1084	1012	
20	1078		
21	1023		
22	1071		
23	1048		
24	1038		
25	1079		
26	1063		
27	1041		
28	1021		
29	1036		
30	1020		
31	1024		
32	1088		
33	1062		
34	1080		
35	1015		
36	1054		
37	1050		
38	1016		
39	1031		
40	1076		
41	1006		
42	1058		
43	1077		
44	1052		
45	1064		
46	1086		
47	1026		
48	1019		
49	1044		
50	1040		
51	1089		
52	1030		
53	1004		
54	1067		
55	1075		
56	1017		
57	1090		
58	1008		
59	1001		
60	1069		
61	1091		
62	1083		
63	1087		
64	1068		
