	train	test	val
1	1086	1025	1048
2	1073	1030	1039
3	1071	1070	1035
4	1084	1038	1009
5	1031	1088	1091
6	1069	1090	1032
7	1001	1033	1015
8	1077	1076	1066
9	1013	1036	
10	1017	1083	
11	1041	1037	
12	1029	1085	
13	1018	1067	
14	1054	1016	
15	1056	1050	
16	1055	1027	
17	1080	1062	
18	1006	1021	
19	1022	1061	
20	1040		
21	1034		
22	1043		
23	1064		
24	1060		
25	1063		
26	1004		
27	1058		
28	1003		
29	1044		
30	1072		
31	1065		
32	1068		
33	1020		
34	1011		
35	1008		
36	1019		
37	1049		
38	1042		
39	1078		
40	1081		
41	1053		
42	1007		
43	1051		
44	1028		
45	1089		
46	1014		
47	1074		
48	1023		
49	1026		
50	1010		
51	1012		
52	1079		
53	1002		
54	1024		
55	1059		
56	1087		
57	1075		
58	1057		
59	1082		
60	1005		
61	1052		
62	1045		
63	1046		
64	1047		
