	train	test	val
1	1037	1086	1085
2	1046	1089	1033
3	1001	1075	1059
4	1012	1015	1038
5	1078	1019	1073
6	1077	1054	1050
7	1087	1031	1043
8	1021	1081	1024
9	1060	1056	
10	1003	1014	
11	1030	1052	
12	1002	1080	
13	1006	1065	
14	1069	1074	
15	1076	1042	
16	1004	1084	
17	1058	1047	
18	1010	1079	
19	1066	1068	
20	1011		
21	1028		
22	1017		
23	1072		
24	1023		
25	1049		
26	1070		
27	1016		
28	1062		
29	1029		
30	1048		
31	1020		
32	1053		
33	1063		
34	1039		
35	1040		
36	1090		
37	1044		
38	1027		
39	1045		
40	1018		
41	1051		
42	1064		
43	1067		
44	1008		
45	1034		
46	1035		
47	1061		
48	1057		
49	1071		
50	1022		
51	1041		
52	1032		
53	1026		
54	1013		
55	1025		
56	1009		
57	1082		
58	1036		
59	1007		
60	1091		
61	1005		
62	1083		
63	1088		
64	1055		
